gene	KO	pathway	description
Ag_00006	K03104	map03060	Protein export
Ag_00011	K00589	map00860	Porphyrin and chlorophyll metabolism
Ag_00011	K00589	map01100	Metabolic pathways
Ag_00011	K00589	map01110	Biosynthesis of secondary metabolites
Ag_00011	K00589	map01240	Biosynthesis of cofactors
Ag_00015	K00863	map00051	Fructose and mannose metabolism
Ag_00015	K00863	map00561	Glycerolipid metabolism
Ag_00015	K00863	map00680	Methane metabolism
Ag_00015	K00863	map01100	Metabolic pathways
Ag_00015	K00863	map01200	Carbon metabolism
Ag_00031	K19860	map04011	MAPK signaling pathway - yeast
Ag_00035	K14570	map03008	Ribosome biogenesis in eukaryotes
Ag_00038	K01092	map00562	Inositol phosphate metabolism
Ag_00038	K01092	map01100	Metabolic pathways
Ag_00038	K01092	map01110	Biosynthesis of secondary metabolites
Ag_00038	K01092	map04070	Phosphatidylinositol signaling system
Ag_00042	K08139	map04113	Meiosis - yeast
Ag_00055	K01915	map00220	Arginine biosynthesis
Ag_00055	K01915	map00250	Alanine, aspartate and glutamate metabolism
Ag_00055	K01915	map00630	Glyoxylate and dicarboxylate metabolism
Ag_00055	K01915	map00910	Nitrogen metabolism
Ag_00055	K01915	map01100	Metabolic pathways
Ag_00055	K01915	map01230	Biosynthesis of amino acids
Ag_00058	K01209	map00520	Amino sugar and nucleotide sugar metabolism
Ag_00058	K01209	map01100	Metabolic pathways
Ag_00068	K17100	map00680	Methane metabolism
Ag_00068	K17100	map01100	Metabolic pathways
Ag_00068	K17100	map01200	Carbon metabolism
Ag_00108	K14537	map03008	Ribosome biogenesis in eukaryotes
Ag_00109	K02956	map03010	Ribosome
Ag_00110	K01689	map00010	Glycolysis / Gluconeogenesis
Ag_00110	K01689	map00680	Methane metabolism
Ag_00110	K01689	map01100	Metabolic pathways
Ag_00110	K01689	map01110	Biosynthesis of secondary metabolites
Ag_00110	K01689	map01200	Carbon metabolism
Ag_00110	K01689	map01230	Biosynthesis of amino acids
Ag_00110	K01689	map03018	RNA degradation
Ag_00112	K07204	map04136	Autophagy - other
Ag_00112	K07204	map04138	Autophagy - yeast
Ag_00113	K07204	map04136	Autophagy - other
Ag_00113	K07204	map04138	Autophagy - yeast
Ag_00114	K07204	map04136	Autophagy - other
Ag_00114	K07204	map04138	Autophagy - yeast
Ag_00116	K00856	map00230	Purine metabolism
Ag_00116	K00856	map01100	Metabolic pathways
Ag_00128	K08486	map04130	SNARE interactions in vesicular transport
Ag_00133	K00276	map00260	Glycine, serine and threonine metabolism
Ag_00133	K00276	map00350	Tyrosine metabolism
Ag_00133	K00276	map00360	Phenylalanine metabolism
Ag_00133	K00276	map00410	beta-Alanine metabolism
Ag_00133	K00276	map01100	Metabolic pathways
Ag_00133	K00276	map01110	Biosynthesis of secondary metabolites
Ag_00151	K03364	map04111	Cell cycle - yeast
Ag_00151	K03364	map04120	Ubiquitin mediated proteolysis
Ag_00154	K03575	map03410	Base excision repair
Ag_00160	K01784	map00052	Galactose metabolism
Ag_00160	K01784	map00520	Amino sugar and nucleotide sugar metabolism
Ag_00160	K01784	map01100	Metabolic pathways
Ag_00161	K12878	map03013	RNA transport
Ag_00161	K12878	map03040	Spliceosome
Ag_00164	K00326	map00520	Amino sugar and nucleotide sugar metabolism
Ag_00170	K07407	map00052	Galactose metabolism
Ag_00170	K07407	map00561	Glycerolipid metabolism
Ag_00170	K07407	map00600	Sphingolipid metabolism
Ag_00170	K07407	map00603	Glycosphingolipid biosynthesis - globo and isoglobo series
Ag_00170	K07407	map01100	Metabolic pathways
Ag_00173	K01549	map00190	Oxidative phosphorylation
Ag_00173	K01549	map01100	Metabolic pathways
Ag_00182	K04536	map04011	MAPK signaling pathway - yeast
Ag_00193	K08054	map04141	Protein processing in endoplasmic reticulum
Ag_00193	K08054	map04145	Phagosome
Ag_00194	K12852	map03040	Spliceosome
Ag_00195	K12847	map03040	Spliceosome
Ag_00198	K12847	map03040	Spliceosome
Ag_00209	K12599	map03018	RNA degradation
Ag_00212	K19476	map04144	Endocytosis
Ag_00215	K19476	map04144	Endocytosis
Ag_00219	K03469	map03030	DNA replication
Ag_00221	K03469	map03030	DNA replication
Ag_00222	K00558	map00270	Cysteine and methionine metabolism
Ag_00222	K00558	map01100	Metabolic pathways
Ag_00225	K02864	map03010	Ribosome
Ag_00226	K14405	map03015	mRNA surveillance pathway
Ag_00233	K14555	map03008	Ribosome biogenesis in eukaryotes
Ag_00238	K20967	map00790	Folate biosynthesis
Ag_00238	K20967	map01100	Metabolic pathways
Ag_00238	K20967	map01240	Biosynthesis of cofactors
Ag_00244	K08495	map04130	SNARE interactions in vesicular transport
Ag_00252	K00789	map00270	Cysteine and methionine metabolism
Ag_00252	K00789	map01100	Metabolic pathways
Ag_00252	K00789	map01110	Biosynthesis of secondary metabolites
Ag_00252	K00789	map01230	Biosynthesis of amino acids
Ag_00252	K00789	map01240	Biosynthesis of cofactors
Ag_00253	K02863	map03010	Ribosome
Ag_00254	K12871	map03040	Spliceosome
Ag_00264	K01637	map00630	Glyoxylate and dicarboxylate metabolism
Ag_00264	K01637	map01100	Metabolic pathways
Ag_00264	K01637	map01110	Biosynthesis of secondary metabolites
Ag_00264	K01637	map01200	Carbon metabolism
Ag_00265	K12816	map03040	Spliceosome
Ag_00269	K09831	map00100	Steroid biosynthesis
Ag_00269	K09831	map01100	Metabolic pathways
Ag_00269	K09831	map01110	Biosynthesis of secondary metabolites
Ag_00271	K03372	map00604	Glycosphingolipid biosynthesis - ganglio series
Ag_00271	K03372	map01100	Metabolic pathways
Ag_00276	K00974	map03013	RNA transport
Ag_00280	K02127	map00190	Oxidative phosphorylation
Ag_00280	K02127	map01100	Metabolic pathways
Ag_00282	K12812	map03013	RNA transport
Ag_00282	K12812	map03015	mRNA surveillance pathway
Ag_00282	K12812	map03040	Spliceosome
Ag_00284	K06655	map04111	Cell cycle - yeast
Ag_00284	K06655	map04138	Autophagy - yeast
Ag_00285	K14546	map03008	Ribosome biogenesis in eukaryotes
Ag_00286	K10563	map03410	Base excision repair
Ag_00292	K10858	map03430	Mismatch repair
Ag_00295	K13346	map04146	Peroxisome
Ag_00296	K11097	map03040	Spliceosome
Ag_00297	K10413	map04145	Phagosome
Ag_00298	K00872	map00260	Glycine, serine and threonine metabolism
Ag_00298	K00872	map01100	Metabolic pathways
Ag_00298	K00872	map01110	Biosynthesis of secondary metabolites
Ag_00298	K00872	map01230	Biosynthesis of amino acids
Ag_00308	K23358	map03022	Basal transcription factors
Ag_00312	K01426	map00330	Arginine and proline metabolism
Ag_00312	K01426	map00360	Phenylalanine metabolism
Ag_00312	K01426	map00380	Tryptophan metabolism
Ag_00312	K01426	map01100	Metabolic pathways
Ag_00314	K03352	map04111	Cell cycle - yeast
Ag_00314	K03352	map04113	Meiosis - yeast
Ag_00314	K03352	map04120	Ubiquitin mediated proteolysis
Ag_00317	K08490	map04130	SNARE interactions in vesicular transport
Ag_00318	K00057	map00564	Glycerophospholipid metabolism
Ag_00318	K00057	map01110	Biosynthesis of secondary metabolites
Ag_00320	K11788	map00230	Purine metabolism
Ag_00320	K11788	map01100	Metabolic pathways
Ag_00320	K11788	map01110	Biosynthesis of secondary metabolites
Ag_00327	K01904	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
Ag_00327	K01904	map01100	Metabolic pathways
Ag_00327	K01904	map01110	Biosynthesis of secondary metabolites
Ag_00329	K03035	map03050	Proteasome
Ag_00332	K06123	map00564	Glycerophospholipid metabolism
Ag_00332	K06123	map00565	Ether lipid metabolism
Ag_00332	K06123	map01100	Metabolic pathways
Ag_00333	K05546	map00510	N-Glycan biosynthesis
Ag_00333	K05546	map01100	Metabolic pathways
Ag_00333	K05546	map04141	Protein processing in endoplasmic reticulum
Ag_00338	K01875	map00970	Aminoacyl-tRNA biosynthesis
Ag_00340	K10755	map03030	DNA replication
Ag_00340	K10755	map03420	Nucleotide excision repair
Ag_00340	K10755	map03430	Mismatch repair
Ag_00342	K03014	map03020	RNA polymerase
Ag_00352	K10872	map04113	Meiosis - yeast
Ag_00367	K10747	map03030	DNA replication
Ag_00367	K10747	map03410	Base excision repair
Ag_00367	K10747	map03420	Nucleotide excision repair
Ag_00367	K10747	map03430	Mismatch repair
Ag_00370	K17919	map04144	Endocytosis
Ag_00372	K03010	map03020	RNA polymerase
Ag_00374	K00750	map00500	Starch and sucrose metabolism
Ag_00374	K00750	map01100	Metabolic pathways
Ag_00374	K00750	map01110	Biosynthesis of secondary metabolites
Ag_00387	K01619	map00030	Pentose phosphate pathway
Ag_00387	K01619	map01100	Metabolic pathways
Ag_00397	K07342	map03060	Protein export
Ag_00397	K07342	map04141	Protein processing in endoplasmic reticulum
Ag_00397	K07342	map04145	Phagosome
Ag_00399	K00281	map00260	Glycine, serine and threonine metabolism
Ag_00399	K00281	map00630	Glyoxylate and dicarboxylate metabolism
Ag_00399	K00281	map01100	Metabolic pathways
Ag_00399	K00281	map01110	Biosynthesis of secondary metabolites
Ag_00399	K00281	map01200	Carbon metabolism
Ag_00405	K07127	map00230	Purine metabolism
Ag_00405	K07127	map01100	Metabolic pathways
Ag_00406	K10579	map04120	Ubiquitin mediated proteolysis
Ag_00410	K13950	map00790	Folate biosynthesis
Ag_00410	K13950	map01240	Biosynthesis of cofactors
Ag_00412	K01493	map00240	Pyrimidine metabolism
Ag_00412	K01493	map01100	Metabolic pathways
Ag_00414	K14522	map03008	Ribosome biogenesis in eukaryotes
Ag_00414	K14522	map03013	RNA transport
Ag_00416	K12199	map04144	Endocytosis
Ag_00426	K14552	map03008	Ribosome biogenesis in eukaryotes
Ag_00431	K17743	map00040	Pentose and glucuronate interconversions
Ag_00431	K17743	map01100	Metabolic pathways
Ag_00441	K01507	map00190	Oxidative phosphorylation
Ag_00448	K03846	map00510	N-Glycan biosynthesis
Ag_00448	K03846	map00513	Various types of N-glycan biosynthesis
Ag_00448	K03846	map01100	Metabolic pathways
Ag_00454	K00507	map01040	Biosynthesis of unsaturated fatty acids
Ag_00454	K00507	map01100	Metabolic pathways
Ag_00454	K00507	map01212	Fatty acid metabolism
Ag_00466	K04711	map00600	Sphingolipid metabolism
Ag_00466	K04711	map01100	Metabolic pathways
Ag_00468	K08775	map03440	Homologous recombination
Ag_00469	K08967	map00270	Cysteine and methionine metabolism
Ag_00469	K08967	map01100	Metabolic pathways
Ag_00472	K00972	map00520	Amino sugar and nucleotide sugar metabolism
Ag_00472	K00972	map01100	Metabolic pathways
Ag_00473	K01210	map00500	Starch and sucrose metabolism
Ag_00473	K01210	map01100	Metabolic pathways
Ag_00479	K00793	map00740	Riboflavin metabolism
Ag_00479	K00793	map01100	Metabolic pathways
Ag_00479	K00793	map01110	Biosynthesis of secondary metabolites
Ag_00479	K00793	map01240	Biosynthesis of cofactors
Ag_00485	K09680	map00770	Pantothenate and CoA biosynthesis
Ag_00485	K09680	map01100	Metabolic pathways
Ag_00485	K09680	map01240	Biosynthesis of cofactors
Ag_00488	K14758	map03008	Ribosome biogenesis in eukaryotes
Ag_00490	K00698	map00520	Amino sugar and nucleotide sugar metabolism
Ag_00490	K00698	map01100	Metabolic pathways
Ag_00493	K01867	map00970	Aminoacyl-tRNA biosynthesis
Ag_00506	K03128	map03022	Basal transcription factors
Ag_00507	K00921	map00562	Inositol phosphate metabolism
Ag_00507	K00921	map01100	Metabolic pathways
Ag_00507	K00921	map04070	Phosphatidylinositol signaling system
Ag_00507	K00921	map04145	Phagosome
Ag_00511	K14311	map03013	RNA transport
Ag_00512	K01803	map00010	Glycolysis / Gluconeogenesis
Ag_00512	K01803	map00051	Fructose and mannose metabolism
Ag_00512	K01803	map00562	Inositol phosphate metabolism
Ag_00512	K01803	map01100	Metabolic pathways
Ag_00512	K01803	map01110	Biosynthesis of secondary metabolites
Ag_00512	K01803	map01200	Carbon metabolism
Ag_00512	K01803	map01230	Biosynthesis of amino acids
Ag_00523	K12832	map03040	Spliceosome
Ag_00524	K12592	map03018	RNA degradation
Ag_00527	K20182	map04138	Autophagy - yeast
Ag_00528	K14676	map00564	Glycerophospholipid metabolism
Ag_00533	K11246	map04011	MAPK signaling pathway - yeast
Ag_00536	K00480	map01100	Metabolic pathways
Ag_00537	K01522	map00230	Purine metabolism
Ag_00537	K01522	map01100	Metabolic pathways
Ag_00539	K12350	map00600	Sphingolipid metabolism
Ag_00539	K12350	map01100	Metabolic pathways
Ag_00548	K01480	map00330	Arginine and proline metabolism
Ag_00548	K01480	map01100	Metabolic pathways
Ag_00552	K11644	map04139	Mitophagy - yeast
Ag_00555	K11644	map04139	Mitophagy - yeast
Ag_00556	K11644	map04139	Mitophagy - yeast
Ag_00569	K12818	map03040	Spliceosome
Ag_00570	K14285	map03008	Ribosome biogenesis in eukaryotes
Ag_00570	K14285	map03013	RNA transport
Ag_00570	K14285	map03015	mRNA surveillance pathway
Ag_00571	K12351	map00600	Sphingolipid metabolism
Ag_00571	K12351	map01100	Metabolic pathways
Ag_00577	K10967	map00514	Other types of O-glycan biosynthesis
Ag_00585	K10599	map03040	Spliceosome
Ag_00585	K10599	map04120	Ubiquitin mediated proteolysis
Ag_00590	K14721	map03020	RNA polymerase
Ag_00592	K18532	map00230	Purine metabolism
Ag_00592	K18532	map01100	Metabolic pathways
Ag_00592	K18532	map01110	Biosynthesis of secondary metabolites
Ag_00592	K18532	map01240	Biosynthesis of cofactors
Ag_00592	K18532	map03008	Ribosome biogenesis in eukaryotes
Ag_00595	K06634	map03022	Basal transcription factors
Ag_00595	K06634	map03420	Nucleotide excision repair
Ag_00599	K07889	map04144	Endocytosis
Ag_00599	K07889	map04145	Phagosome
Ag_00602	K21618	map00620	Pyruvate metabolism
Ag_00602	K21618	map01100	Metabolic pathways
Ag_00607	K17764	map04139	Mitophagy - yeast
Ag_00609	K03016	map03020	RNA polymerase
Ag_00613	K11096	map03040	Spliceosome
Ag_00622	K18106	map00040	Pentose and glucuronate interconversions
Ag_00622	K18106	map01100	Metabolic pathways
Ag_00635	K00326	map00520	Amino sugar and nucleotide sugar metabolism
Ag_00636	K11240	map04011	MAPK signaling pathway - yeast
Ag_00648	K00290	map00300	Lysine biosynthesis
Ag_00648	K00290	map00310	Lysine degradation
Ag_00648	K00290	map01100	Metabolic pathways
Ag_00648	K00290	map01110	Biosynthesis of secondary metabolites
Ag_00648	K00290	map01230	Biosynthesis of amino acids
Ag_00660	K17450	map00300	Lysine biosynthesis
Ag_00660	K17450	map01100	Metabolic pathways
Ag_00660	K17450	map01110	Biosynthesis of secondary metabolites
Ag_00660	K17450	map01210	2-Oxocarboxylic acid metabolism
Ag_00660	K17450	map01230	Biosynthesis of amino acids
Ag_00663	K00826	map00270	Cysteine and methionine metabolism
Ag_00663	K00826	map00280	Valine, leucine and isoleucine degradation
Ag_00663	K00826	map00290	Valine, leucine and isoleucine biosynthesis
Ag_00663	K00826	map00770	Pantothenate and CoA biosynthesis
Ag_00663	K00826	map01100	Metabolic pathways
Ag_00663	K00826	map01110	Biosynthesis of secondary metabolites
Ag_00663	K00826	map01210	2-Oxocarboxylic acid metabolism
Ag_00663	K00826	map01230	Biosynthesis of amino acids
Ag_00663	K00826	map01240	Biosynthesis of cofactors
Ag_00664	K01057	map00030	Pentose phosphate pathway
Ag_00664	K01057	map01100	Metabolic pathways
Ag_00664	K01057	map01110	Biosynthesis of secondary metabolites
Ag_00664	K01057	map01200	Carbon metabolism
Ag_00665	K05349	map00460	Cyanoamino acid metabolism
Ag_00665	K05349	map00500	Starch and sucrose metabolism
Ag_00665	K05349	map01100	Metabolic pathways
Ag_00665	K05349	map01110	Biosynthesis of secondary metabolites
Ag_00668	K00033	map00030	Pentose phosphate pathway
Ag_00668	K00033	map00480	Glutathione metabolism
Ag_00668	K00033	map01100	Metabolic pathways
Ag_00668	K00033	map01110	Biosynthesis of secondary metabolites
Ag_00668	K00033	map01200	Carbon metabolism
Ag_00669	K01953	map00250	Alanine, aspartate and glutamate metabolism
Ag_00669	K01953	map01100	Metabolic pathways
Ag_00669	K01953	map01110	Biosynthesis of secondary metabolites
Ag_00669	K01953	map01230	Biosynthesis of amino acids
Ag_00673	K07897	map04138	Autophagy - yeast
Ag_00673	K07897	map04144	Endocytosis
Ag_00673	K07897	map04145	Phagosome
Ag_00678	K19054	map00860	Porphyrin and chlorophyll metabolism
Ag_00683	K02735	map03050	Proteasome
Ag_00689	K01011	map00270	Cysteine and methionine metabolism
Ag_00689	K01011	map00920	Sulfur metabolism
Ag_00689	K01011	map01100	Metabolic pathways
Ag_00689	K01011	map04122	Sulfur relay system
Ag_00690	K02148	map00190	Oxidative phosphorylation
Ag_00690	K02148	map01100	Metabolic pathways
Ag_00690	K02148	map04145	Phagosome
Ag_00694	K01620	map00260	Glycine, serine and threonine metabolism
Ag_00694	K01620	map01100	Metabolic pathways
Ag_00694	K01620	map01110	Biosynthesis of secondary metabolites
Ag_00694	K01620	map01230	Biosynthesis of amino acids
Ag_00697	K14548	map03008	Ribosome biogenesis in eukaryotes
Ag_00698	K13348	map04146	Peroxisome
Ag_00711	K08504	map04130	SNARE interactions in vesicular transport
Ag_00717	K13350	map04146	Peroxisome
Ag_00720	K03936	map00190	Oxidative phosphorylation
Ag_00720	K03936	map01100	Metabolic pathways
Ag_00723	K10847	map03420	Nucleotide excision repair
Ag_00726	K01900	map00020	Citrate cycle (TCA cycle)
Ag_00726	K01900	map00640	Propanoate metabolism
Ag_00726	K01900	map01100	Metabolic pathways
Ag_00726	K01900	map01110	Biosynthesis of secondary metabolites
Ag_00726	K01900	map01200	Carbon metabolism
Ag_00731	K12861	map03040	Spliceosome
Ag_00732	K06699	map03050	Proteasome
Ag_00734	K00866	map00564	Glycerophospholipid metabolism
Ag_00734	K00866	map01100	Metabolic pathways
Ag_00738	K03097	map03008	Ribosome biogenesis in eukaryotes
Ag_00738	K03097	map04139	Mitophagy - yeast
Ag_00744	K02978	map03010	Ribosome
Ag_00747	K01012	map00780	Biotin metabolism
Ag_00747	K01012	map01100	Metabolic pathways
Ag_00747	K01012	map01240	Biosynthesis of cofactors
Ag_00750	K06699	map03050	Proteasome
Ag_00758	K02151	map00190	Oxidative phosphorylation
Ag_00758	K02151	map01100	Metabolic pathways
Ag_00758	K02151	map04145	Phagosome
Ag_00765	K02209	map03030	DNA replication
Ag_00765	K02209	map04111	Cell cycle - yeast
Ag_00765	K02209	map04113	Meiosis - yeast
Ag_00771	K21797	map00562	Inositol phosphate metabolism
Ag_00771	K21797	map01100	Metabolic pathways
Ag_00771	K21797	map04070	Phosphatidylinositol signaling system
Ag_00772	K11092	map03040	Spliceosome
Ag_00777	K00411	map00190	Oxidative phosphorylation
Ag_00777	K00411	map01100	Metabolic pathways
Ag_00778	K01126	map00564	Glycerophospholipid metabolism
Ag_00781	K14015	map04141	Protein processing in endoplasmic reticulum
Ag_00785	K01613	map00564	Glycerophospholipid metabolism
Ag_00785	K01613	map01100	Metabolic pathways
Ag_00785	K01613	map01110	Biosynthesis of secondary metabolites
Ag_00793	K05906	map00900	Terpenoid backbone biosynthesis
Ag_00793	K05906	map01110	Biosynthesis of secondary metabolites
Ag_00813	K06167	map00440	Phosphonate and phosphinate metabolism
Ag_00813	K06167	map01100	Metabolic pathways
Ag_00815	K11230	map04011	MAPK signaling pathway - yeast
Ag_00821	K15628	map02010	ABC transporters
Ag_00821	K15628	map04146	Peroxisome
Ag_00822	K01673	map00910	Nitrogen metabolism
Ag_00822	K01673	map01100	Metabolic pathways
Ag_00824	K02541	map03030	DNA replication
Ag_00824	K02541	map04111	Cell cycle - yeast
Ag_00824	K02541	map04113	Meiosis - yeast
Ag_00826	K03850	map00510	N-Glycan biosynthesis
Ag_00826	K03850	map01100	Metabolic pathways
Ag_00833	K03253	map03013	RNA transport
Ag_00837	K10879	map03440	Homologous recombination
Ag_00845	K07573	map03018	RNA degradation
Ag_00846	K00627	map00010	Glycolysis / Gluconeogenesis
Ag_00846	K00627	map00020	Citrate cycle (TCA cycle)
Ag_00846	K00627	map00620	Pyruvate metabolism
Ag_00846	K00627	map01100	Metabolic pathways
Ag_00846	K00627	map01110	Biosynthesis of secondary metabolites
Ag_00846	K00627	map01200	Carbon metabolism
Ag_00848	K18819	map00052	Galactose metabolism
Ag_00848	K18819	map01100	Metabolic pathways
Ag_00849	K03644	map00785	Lipoic acid metabolism
Ag_00849	K03644	map01100	Metabolic pathways
Ag_00849	K03644	map01240	Biosynthesis of cofactors
Ag_00851	K13352	map04146	Peroxisome
Ag_00852	K01679	map00020	Citrate cycle (TCA cycle)
Ag_00852	K01679	map00620	Pyruvate metabolism
Ag_00852	K01679	map01100	Metabolic pathways
Ag_00852	K01679	map01110	Biosynthesis of secondary metabolites
Ag_00852	K01679	map01200	Carbon metabolism
Ag_00855	K02891	map03010	Ribosome
Ag_00856	K11131	map03008	Ribosome biogenesis in eukaryotes
Ag_00862	K10801	map03410	Base excision repair
Ag_00866	K02974	map03010	Ribosome
Ag_00870	K03859	map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
Ag_00870	K03859	map01100	Metabolic pathways
Ag_00875	K02877	map03010	Ribosome
Ag_00877	K04799	map03030	DNA replication
Ag_00877	K04799	map03410	Base excision repair
Ag_00877	K04799	map03450	Non-homologous end-joining
Ag_00888	K14559	map03008	Ribosome biogenesis in eukaryotes
Ag_00893	K02985	map03010	Ribosome
Ag_00894	K07513	map00071	Fatty acid degradation
Ag_00894	K07513	map00280	Valine, leucine and isoleucine degradation
Ag_00894	K07513	map00592	alpha-Linolenic acid metabolism
Ag_00894	K07513	map01040	Biosynthesis of unsaturated fatty acids
Ag_00894	K07513	map01100	Metabolic pathways
Ag_00894	K07513	map01110	Biosynthesis of secondary metabolites
